window_start,window_end,city,avg_util,max_util,min_util,std_util,avg_temp,avg_wind,avg_clouds,avg_rain
2024-10-01 00:00:00,2024-10-01 00:30:00,Dubai,0.12701971200407824,0.7,0.0751488588740989,0.13780409198416974,13.35,4.02,4.52,0.0
2024-10-01 00:30:00,2024-10-01 01:00:00,Dubai,0.20358897827893918,0.7,0.11718720278539041,0.11376687028255095,15.51,3.93,9.86,0.0
2024-10-01 01:00:00,2024-10-01 01:30:00,Dubai,0.2890309473644737,0.7,0.2380438898149237,0.10407713343927097,14.9,3.86,34.62,0.0
2024-10-01 01:30:00,2024-10-01 02:00:00,Dubai,0.40579189746248095,0.7,0.34096014961998916,0.23209246254544472,15.71,7.09,27.77,0.0
2024-10-01 02:00:00,2024-10-01 02:30:00,Dubai,0.373608649224309,0.7,0.24743176215842758,0.1832196723415582,16.04,1.8,24.09,0.0
2024-10-01 02:30:00,2024-10-01 03:00:00,Dubai,0.33421889791042925,0.7,0.23901466224837092,0.17993794564631463,15.04,4.75,26.08,0.0
2024-10-01 03:00:00,2024-10-01 03:30:00,Dubai,0.3388498498501162,0.7,0.20160534957422024,0.1885966299258121,17.2,3.71,25.36,0.0
2024-10-01 03:30:00,2024-10-01 04:00:00,Dubai,0.3781956262595304,0.7,0.2574022645160441,0.20820501047693019,18.16,4.04,12.92,0.0
2024-10-01 04:00:00,2024-10-01 04:30:00,Dubai,0.36164196735399173,0.7,0.2383551315079992,0.20973878711333294,19.24,3.15,25.47,0.0
2024-10-01 04:30:00,2024-10-01 05:00:00,Dubai,0.20121828288444993,0.7,0.1497346544488981,0.13524656017862552,18.34,4.35,21.69,0.0
2024-10-01 05:00:00,2024-10-01 05:30:00,Dubai,0.23944004308866432,0.7,0.1133291547894009,0.15198354564815028,20.95,2.72,16.4,0.0
2024-10-01 05:30:00,2024-10-01 06:00:00,Dubai,0.29761209389619814,0.7,0.23555463372371685,0.11213892849956306,21.38,6.7,32.89,0.0
2024-10-01 06:00:00,2024-10-01 06:30:00,Dubai,0.22207313584336996,0.7,0.10413091636514443,0.16078676883633033,20.88,6.28,9.63,0.0
2024-10-01 06:30:00,2024-10-01 07:00:00,Dubai,0.2887063684229136,0.7,0.23095346046833476,0.22754510663920333,22.62,5.35,38.15,0.0
2024-10-01 07:00:00,2024-10-01 07:30:00,Dubai,0.24940119410025263,0.7,0.1757281474302882,0.191486808913725,23.76,6.1,19.75,0.0
2024-10-01 07:30:00,2024-10-01 08:00:00,Dubai,0.3467799459866746,0.7,0.27582183505605434,0.058390236202688545,24.2,7.45,12.61,0.0
2024-10-01 08:00:00,2024-10-01 08:30:00,Dubai,0.2776380805550779,0.7,0.1445043424204103,0.23309191216866948,24.64,2.69,26.98,0.0
2024-10-01 08:30:00,2024-10-01 09:00:00,Dubai,0.08283126241441668,0.7,0.0,0.24895528342700268,26.06,6.36,27.8,0.0
2024-10-01 09:00:00,2024-10-01 09:30:00,Dubai,0.08232745043939008,0.7,0.0,0.12559680413630103,26.61,5.12,30.48,0.0
2024-10-01 09:30:00,2024-10-01 10:00:00,Dubai,0.15562234519130147,0.7,0.08674152960840448,0.09590374905270133,28.58,6.1,10.19,0.0
2024-10-01 10:00:00,2024-10-01 10:30:00,Dubai,0.08302889234220255,0.7,0.0,0.12815889900472788,27.92,5.48,27.9,0.0
2024-10-01 10:30:00,2024-10-01 11:00:00,Dubai,0.005486111199901,0.7,0.0,0.07507192428709385,27.38,3.85,15.19,0.0
2024-10-01 11:00:00,2024-10-01 11:30:00,Dubai,0.0752779045948282,0.7,0.0038467997924173103,0.11616076863187105,30.24,6.29,4.58,0.0
2024-10-01 11:30:00,2024-10-01 12:00:00,Dubai,0.25689249112147167,0.7,0.14592782029086418,0.17087482000505894,28.6,5.41,33.7,0.0
2024-10-01 12:00:00,2024-10-01 12:30:00,Dubai,0.3077345114767285,0.7,0.236165898221682,0.10081324443745537,28.97,5.71,20.81,0.0
2024-10-01 12:30:00,2024-10-01 13:00:00,Dubai,0.35112949337276417,0.7,0.25933462561405185,0.13043342696717053,29.41,5.83,22.19,0.0
2024-10-01 13:00:00,2024-10-01 13:30:00,Dubai,0.46486411039120035,0.7,0.34877552487017843,0.11275609576801646,29.78,5.22,17.68,0.0
2024-10-01 13:30:00,2024-10-01 14:00:00,Dubai,0.46880740371330953,0.7,0.3645797791403639,0.1362768749495305,27.76,5.88,3.99,0.0
2024-10-01 14:00:00,2024-10-01 14:30:00,Dubai,0.5198817279247374,0.7616295463444389,0.4,0.1553538375751759,26.49,2.48,5.84,0.0
2024-10-01 14:30:00,2024-10-01 15:00:00,Dubai,0.46228048491798973,0.7,0.3914523759537571,0.12396115523374765,27.02,5.97,33.34,0.0
2024-10-01 15:00:00,2024-10-01 15:30:00,Dubai,0.3806354664915155,0.7,0.3171038714674643,0.08070868217131141,27.6,5.29,31.21,0.0
2024-10-01 15:30:00,2024-10-01 16:00:00,Dubai,0.30928315128581346,0.7,0.23494116701104695,0.1704226367561645,26.43,5.54,33.21,0.0
2024-10-01 16:00:00,2024-10-01 16:30:00,Dubai,0.4091528173302801,0.7,0.3395014739474678,0.031083983681400945,24.77,3.47,18.07,0.0
2024-10-01 16:30:00,2024-10-01 17:00:00,Dubai,0.3657235023992068,0.7,0.3078315750684248,0.17393075065066588,24.78,4.16,7.24,0.0
2024-10-01 17:00:00,2024-10-01 17:30:00,Dubai,0.23712047414231707,0.7,0.1230937037886306,0.20134502216120437,24.43,2.5,15.97,0.0
2024-10-01 17:30:00,2024-10-01 18:00:00,Dubai,0.22135311826970686,0.7,0.16716743629733233,0.08877232560219031,22.9,5.58,0.0,0.0
2024-10-01 18:00:00,2024-10-01 18:30:00,Dubai,0.3842723033939753,0.7,0.2863711504941909,0.1665580526947891,22.0,3.95,31.06,0.0
2024-10-01 18:30:00,2024-10-01 19:00:00,Dubai,0.30335783919283016,0.7,0.1971453190948474,0.14648792381527528,20.69,5.39,38.25,0.0
2024-10-01 19:00:00,2024-10-01 19:30:00,Dubai,0.2790851098533911,0.7,0.18349579830367097,0.16706012423550062,20.54,2.46,9.12,0.0
2024-10-01 19:30:00,2024-10-01 20:00:00,Dubai,0.23349841596473123,0.7,0.09920407774797316,0.1469502767891116,19.65,5.11,9.43,0.0
2024-10-01 20:00:00,2024-10-01 20:30:00,Dubai,0.22299070138510657,0.7,0.14316007845163312,0.12909876483165283,18.24,6.98,29.9,0.0
2024-10-01 20:30:00,2024-10-01 21:00:00,Dubai,0.14805091580314367,0.7,0.04941921644224756,0.06661039965997641,17.42,3.18,5.61,0.0
2024-10-01 21:00:00,2024-10-01 21:30:00,Dubai,0.0687650381058984,0.7,0.0,0.22507879718040116,17.8,5.34,14.39,0.0
2024-10-01 21:30:00,2024-10-01 22:00:00,Dubai,0.0,0.7,0.0,0.2063773860997331,16.61,4.28,0.0,0.0
2024-10-01 22:00:00,2024-10-01 22:30:00,Dubai,0.0,0.7,0.0,0.13769548420300165,15.29,6.35,25.9,0.0
2024-10-01 22:30:00,2024-10-01 23:00:00,Dubai,0.00981539199285425,0.7,0.0,0.10813931609459798,15.86,4.16,9.86,0.0
2024-10-01 23:00:00,2024-10-01 23:30:00,Dubai,0.0,0.7,0.0,0.2204476223192804,14.14,4.21,12.37,0.0
2024-10-01 23:30:00,2024-10-02 00:00:00,Dubai,0.08574386866520184,0.7,0.0,0.12479232530065629,15.12,4.89,20.39,0.0
2024-10-02 00:00:00,2024-10-02 00:30:00,Dubai,0.25599873472295487,0.7,0.14137248308542022,0.12189320795659805,19.38,5.58,6.03,0.0
2024-10-02 00:30:00,2024-10-02 01:00:00,Dubai,0.3726240834735305,0.7,0.24096729237238307,0.11639912088581547,19.98,5.49,36.85,0.0
2024-10-02 01:00:00,2024-10-02 01:30:00,Dubai,0.40095891284667695,0.7,0.29368558605761297,0.18753077496080348,19.58,6.43,23.69,0.0
2024-10-02 01:30:00,2024-10-02 02:00:00,Dubai,0.3390990005882616,0.7,0.2871732954013963,0.2901255896887807,20.81,5.6,15.93,0.0
2024-10-02 02:00:00,2024-10-02 02:30:00,Dubai,0.4711862321771337,0.7140810061311654,0.4,0.12548026916822544,22.0,6.77,13.76,0.0
2024-10-02 02:30:00,2024-10-02 03:00:00,Dubai,0.45597503580246296,0.7,0.37892368587505204,0.1384098771748512,23.39,3.07,20.23,0.0
2024-10-02 03:00:00,2024-10-02 03:30:00,Dubai,0.3133405310464372,0.7,0.22517393916925058,0.17716594685798415,20.66,4.59,25.14,0.0
2024-10-02 03:30:00,2024-10-02 04:00:00,Dubai,0.42300516548785677,0.7,0.3130309561509216,0.08546814094640602,23.96,5.62,11.23,0.0
